Name of country	Country code as defined in ISO 3166	Domestic account number example	BBAN	BBAN structure 	BBAN length	Bank identifier position within the BBAN	Bank identifier length	Bank identifier example	BBAN example	IBAN	IBAN structure	IBAN length	IBAN electronic format example	IBAN print format example	SEPA Country	Contact details
Poland	PL	61 1090 1014 0000 0712 1981 2874	0	8!n16!n	24	Positions 1-8	8!n	10901014	109010140000071219812874	0	PL2!n8!n16n	28	PL61109010140000071219812874	PL61 1090 1014 0000 0712 1981 2874	Yes	 Mr. Tomasz JONCZYK, Polish Bank Association, 8, Kruczkowskiego Street, 00 – 380 WARSAW, Tel: 48 22 856 08 59, Fax: 48 22 651 63 93, Email: tomasz.jonczyk@kir.com.pl  
Portugal	PT	0002.0123.12345678901.54	0	4!n4!n11!n2!n	21	 Positions 1-4, Branch identifier positions: 5-8 	 4!n, Branch identifier length: 4!n 	 0002, Branch identifier example: 0123 	000201231234567890154	0	PT2!n4!n4!n11!n2!n	25	PT50000201231234567890154	PT50 0002 0123 1234 5678 9015 4	 Yes, Also includes Azores and Madeira 	 Sociedade Interbancária de Serviços SA, Rua Soeiro Pereira Gomes, Lote 1, 1649-031 LISBOA, Tel: 351 21 781 3000, Fax: 351 21 793 5668 , Email: webmaster@sibs.pt 
Romania	RO	RO49 AAAA 1B31 0075 9384 0000	0	4!a16!c	20	Positions 1-4	4!a	AAAA	AAAA1B31007593840000	0	RO2!n4!a16!c	24	RO49AAAA1B31007593840000	RO49 AAAA 1B31 0075 9384 0000	Yes	 Mrs. Ruxandra AVRAM , National Bank of Romania, Lipscani St.,25th, Sector 3, Bucharest 030031, Tel: 00 4021 307 01 98, Fax: 00 4021 312 62 61 , Email: ruxandra.avram@bnro.ro 
San Marino	SM	SM86 U032 2509 8000 0000 0270 100	0	1!a5!n5!n12!c	23	 Bank identifier position: 2-6,Branch identifier position: 7-11 	 Bank identifier length: 5!n, Branch identifier length: 5!n 	 Bank identifier example: 03225, Branch identifier example: 09800 	U0322509800000000270100	0	SM2!n1!a5!n5!n12!c	27	SM86U0322509800000000270100	SM86 U032 2509 8000 0000 0270 100	No	 Mr. A. Costa, Head of Payments System Department Banca Centrale della Repubblica di San Marino, Via del Voltone, 120, San Marino 47890, Email: acosta@bcsm.sm 
Saudi Arabia	SA	6080101675519	0	2!n18!c	20	Bank identifier position: 1-2	2	80	80000000608010167519	0	SA2!n2!n18!c	24	SA0380000000608010167519	SA03 8000 0000 6080 1016 7519	No	 Mr. Abdulmalik Al Sheikh, Director, Banking technology Department (BTD), SAMA, Head Office, P.O. BOX 2992, Riyadh 11169, Email: a_sheikh@sama.gov.sa, Tel: +9661 466 2502 
Serbia	RS	260-0056010016113-79	0	3!n13!n2!n	18	Positions 1-3	3!n	260	260005601001611379	0	RS2!n3!n13!n2!n	22	RS35260005601001611379	RS35 2600 0560 1001 6113 79	No	 Mrs. Snezana Zekovic, National bank of Serbia, Nemanjina 17, 11000 Belgrade, Tel: +381 11 333 8050, Fax: +381 11 333 8088, Email: Snezana.Zekovic@nbs.rs 
Slovak Republic	SK	19-8742637541/1200	0	4!n6!n10!n	20	Positions 1-4	4!n	1200	12000000198742637541	0	SK2!n4!n6!n10!n	24	SK3112000000198742637541	SK31 1200 0000 1987 4263 7541	Yes	 Mrs Elena Biskupi?ová, National Bank of Slovakia, Imricha Karvaša 1, 813 25 Bratislava 1, Tel: +421 2 5787 2351, Fax: +421 2 5787 1138, Email: Elena.Biskupicova@nbs.sk  
Slovenia	SI	2633 0001 2039 086	0	5!n8!n2!n	15	 Positions 1-5 (positions 1-2 bank identifier; positions 3-5 branch identifier). In case of payment institutions: positions 1-5 payment institution identifier, where positions 1-2 is always 91 	 5!n; (2!n - bank identifier, 3!n - branch identifier) or (5!n - payment institution identifier, starting always with 91) 	26330	 263300012039086. In case of credit institution: 26330; 26  - bank identifier, 100 - branch identifier In case of payment institution:26234; ; payment institution identifier, starts with 26 	0	SI2!n5!n8!n2!n	19	SI56191000000123438	SI56 1910 0000 0123 438	Yes	 Mrs. Nina Frkovic, Payment and Settlement ystem Department, Bank of Slovenia, Slovenska 35, SI-1505 LJUBLJANA, Tel: +386 1 4719 744, Fax: +386 1 4719 725, Email: nina.frkovic@bsi.si Website www.bsi.si 
Spain	ES	2100 0418 45 0200051332 	0	4!n4!n1!n1!n10!n	20	 Positions 1-4, Branch identifier positions: 5-8 	 4!n, Branch identifier length: 4!n 	 2100, Branch identifier example: 0418 	21000418450200051332	0	ES2!n4!n4!n1!n1!n10!n	24	ES9121000418450200051332	ES91 2100 0418 4502 0005 1332	 Yes, Also includes Canary Islands, Ceuta and Melilla 	 Ms. Pilar Clavería, Asociación Española de Banca Privada (AEB), C/ Velázquez, 64 – 66, 28001 MADRID, Tel: 34 91 789 13 11, Email:  pclaveria@aebanca.es 
Sweden	SE	1234 12 3456 1	0	3!n16!n1!n	20	Positions 1-3	3!n	123	5000 0000 0583 9825 7466	0	SE2!n3!n16!n1!n	24	SE4550000000058398257466	SE45 5000 0000 0583 9825 7466	Yes	 Mr. Lars RUTBERG, Swedish Bankers’ Association, SE - 103 94STOCKHOLM, Tel:46 8 453 44 50, Tel: 46 8 453 44 00, Fax: 46 8 796 44 15, Email: lars.rutberg@bankforeningen.se  
Switzerland	CH	762 1162-3852.957	0	5!n12!c	17	Positions 1-5	5!n	00762	00762011623852957	0	CH2!n5!n12!c	21	CH9300762011623852957	CH93 0076 2011 6238 5295 7	Yes	 Zentrale Koordinationsstelle fuer IBAN/IPI, SIX Interbank Clearing Ltd, Technical Support, Hardturmstrasse 201 CH-8021 ZURICH, Tel: +41 58 399 4420, Fax: +41 58 499 4550 , Email: iban@six-group.com, Website: www.iban.ch 
Tunisia	TN	10 006 0351835984788 31	0	2!n3!n13!n2!n	20	 1-2, Branch identifier positions:  3-5 	 2!n, Branch identifier length: 3!n 	 10, Branch identifier example: 006 	10006035183598478831	0	TN592!n3!n13!n2!n	24	TN5910006035183598478831	TN59 1000 6035 1835 9847 8831	No	 Tunisia’s Professional Association for Banks & Financial Institutions, Tel: (+216) 71 904 423, Fax: (+216) 71 903 846, Email: info@apbt.org.tn 
Turkey	TR	0061 01299 1234567890123456789	0	5!n1!c16!c	22	Positions 1-5	5!n	00061	0006100519786457841326	0	TR2!n5!n1!c16!c	26	TR330006100519786457841326	TR33 0006 1005 1978 6457 8413 26	No	 Mrs Cigdem KOGAR, Deputy Executive Director, Telephone: +90 312 312 10 85 , Fax: +90 312 311 46 60, e-mail: Cigdem.Kogar@tcmb.gov.tr, Website: http://www.tcmb.gov.tr/yeni/eng/ 
United Arab Emirates	AE	1234567890123456	0	3!n16!n	19	Positions 1-3 ;Branch is not available	3!n	33	0331234567890123456	0	AE07 0331 2345 6789 0123 456	23	AE070331234567890123456	AE07 0331 2345 6789 0123 456	No	Mr. Rashid Mohamed Al Fandi Executive Director Banking Operations Tel:+971 2 691 5424 or +971 2 666 8486 Fax:+971 2 666 7327 email: rashed.alfandi@cbuae.gov.ae or Mr Thomson Robert. Chief Manager Dept ITPU Tel: +971 2 691 5202 Fax: + 971 2 666 3597 Email: bob.thomson@cbuae.gov.ae
United Kingdom	GB	60-16-13 31926819	0	4!a6!n8!n	18	Positions 1-4	4!a	NWBK	NWBK60161331926819	0	GB2!n4!a6!n8!n	22	GB29NWBK60161331926819	GB29 NWBK 6016 1331 9268 19	Yes	 Mr James WHITTLE, Head of Standards, UK payments Administration, Mercury House, Triton Court, 14 Finsbury Square, London EC2A 1LQ, Tel: +44 (0) 20 7711 6209, Mob: +44 (0) 7909 620189, james.whittle@ukpayments.org.uk, web: www.ukpayments.org.uk 
 Virgin Islands, British 	VG	00000 12 345 678 901	0	4!a16!n	20	Positions 1-4	4!a	VPVG	VPVG0000012345678901	0	VG2!n4!a16!n	24	VG96VPVG0000012345678901	VG96 VPVG 0000 0123 4567 8901		 Mr. Reichenstein Peter, Managing Director, VP Bank (BVI) Limited, Administration Building, Central Administration Drive, VG1110, Road Town, Tortola, British Virgin Islands, Telephone: +1 284 494 11 00, Fax: +1 284 494 11 99, e-mail: peter.reichenstein@vpbank.com 
